Run   obj.function   <val1>        <val2>        
71    -9.099335E-02  1.445286E+01  1.878259E+01  
72    1.155297E+00  1.314914E+01  1.655296E+01  
73    1.251231E+00  1.519946E+01  1.799863E+01  
74    -5.127763E-01  1.681933E+01  1.681324E+01  
75    1.268002E+00  1.496762E+01  1.807856E+01  
76    -8.805512E-01  1.363905E+01  1.634890E+01  
77    2.342736E+00  1.437622E+01  1.272261E+01  
78    3.478871E-01  1.394495E+01  1.639234E+01  
79    6.786271E-01  1.655624E+01  1.655030E+01  
80    1.148432E+00  1.318950E+01  1.729576E+01  
81    -3.913389E-01  1.469397E+01  1.626043E+01  
82    -7.478588E-01  1.354405E+01  1.661227E+01  
83    -5.214092E-01  1.571321E+01  1.836352E+01  
84    2.133274E-01  1.606064E+01  1.625054E+01  
85    6.431393E-01  1.647368E+01  1.817719E+01  
86    1.218067E+00  1.313462E+01  1.581428E+01  
87    2.131928E-01  1.476892E+01  1.980920E+01  
88    1.261328E-01  1.450012E+01  1.666770E+01  
89    -3.425440E-02  1.490114E+01  1.777477E+01  
90    -1.670621E-01  1.495051E+01  1.648423E+01  
91    -7.064431E-01  1.477145E+01  1.743983E+01  
92    -8.442932E-01  1.420048E+01  1.555860E+01  
93    -1.448346E-01  1.513158E+01  1.522441E+01  
94    9.135183E-01  1.513327E+01  1.627419E+01  
95    9.250133E-01  1.516676E+01  1.636298E+01  
96    9.366661E-01  1.408439E+01  1.645488E+01  
97    -6.542151E-01  1.416087E+01  1.539128E+01  
98    7.234292E-01  1.516352E+01  1.594383E+01  
99    1.565326E+00  1.493122E+01  1.930538E+01  
100   -2.637314E-02  1.236765E+01  1.629226E+01  
101   9.351223E-01  1.563480E+01  1.528104E+01  
102   6.406041E-01  1.614516E+01  1.634084E+01  
103   -5.245897E-01  1.475327E+01  1.769564E+01  
104   -4.063727E-01  1.348573E+01  1.616290E+01  
105   8.310739E-01  1.473081E+01  1.689866E+01  
106   -4.836652E-01  1.487839E+01  1.653484E+01  
107   -8.738110E-01  1.511023E+01  1.547819E+01  
108   5.798889E-02  1.337335E+01  1.632882E+01  
109   -3.422893E-02  1.486833E+01  1.564108E+01  
110   -4.750528E-01  1.572022E+01  1.573541E+01  
111   8.622291E-01  1.489192E+01  1.605460E+01  
112   4.845480E-01  1.536894E+01  1.612496E+01  
113   -9.294366E-01  1.464403E+01  1.646956E+01  
114   6.725868E-01  1.433834E+01  1.631948E+01  
115   3.057076E-01  1.452754E+01  1.983143E+01  
116   -8.653276E-01  1.396383E+01  1.571820E+01  
117   -5.033250E-01  1.454058E+01  1.768962E+01  
118   8.471617E-01  1.425998E+01  1.694015E+01  
119   -1.914411E-01  1.456011E+01  1.664801E+01  
120   4.775974E-01  1.544650E+01  1.637687E+01  
121   1.294180E+00  1.480049E+01  1.389047E+01  
122   1.091740E-01  1.427121E+01  1.577982E+01  
123   1.018611E+00  1.527755E+01  1.654763E+01  
124   -8.242409E-01  1.361103E+01  1.614377E+01  
125   3.677226E-01  1.478143E+01  1.613392E+01  
126   -4.306844E-01  1.454443E+01  1.635800E+01  
127   -9.330086E-01  1.468525E+01  1.652112E+01  
