Run   obj.function   XQ01          YQ01          RQ01          XQ02          YQ02          RQ02          XQ03          YQ03          RQ03          XQ04          YQ04          RQ04          XQ05          YQ05          RQ05          XQ06          YQ06          RQ06          
11    9.8555473665072346E+08  2.948761E+03  1.411873E+03  1.000000E+04  3.340000E+03  1.000000E+03  1.000000E+04  4.568220E+03  5.020000E+03  1.304665E+04  5.248452E+03  3.715000E+03  1.000000E+04  4.470114E+03  4.170000E+03  1.000000E+04  4.500000E+03  4.585000E+03  1.000000E+04  
12    2.6992350000000000E+08  2.928422E+03  1.520000E+03  1.000000E+04  3.841765E+03  1.000000E+03  1.000000E+04  4.711338E+03  4.949474E+03  1.000000E+04  5.130000E+03  3.715000E+03  1.000000E+04  4.770000E+03  4.170000E+03  1.000000E+04  4.452219E+03  4.585000E+03  1.000000E+04  
13    1.4551562692421884E+06  2.670000E+03  1.520000E+03  4.920289E+03  3.340000E+03  1.000000E+03  1.000000E+04  4.472431E+03  4.847924E+03  1.000000E+04  5.130000E+03  3.715000E+03  1.000000E+04  4.770000E+03  4.170000E+03  1.426598E+04  4.500000E+03  4.585000E+03  1.000000E+04  
14    2.6436400000000000E+08  2.670000E+03  1.520000E+03  1.000000E+04  3.340000E+03  1.000000E+03  1.000000E+04  4.451038E+03  4.743405E+03  1.000000E+04  5.398197E+03  3.968203E+03  1.000000E+04  4.770000E+03  4.170000E+03  1.000000E+04  4.500000E+03  4.450720E+03  1.000000E+04  
15    5.7758044200631295E+04  2.670000E+03  1.520000E+03  1.000000E+04  3.340000E+03  1.000000E+03  1.000000E+04  4.451038E+03  5.020000E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.535199E+03  4.170000E+03  1.000000E+04  4.500000E+03  4.450720E+03  1.000000E+04  
16    1.7333496522817093E+08  2.974648E+03  1.520000E+03  1.000000E+04  3.340000E+03  1.000000E+03  1.144617E+04  4.451038E+03  5.020000E+03  3.219058E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.605403E+03  4.170000E+03  1.000000E+04  4.500000E+03  4.000500E+03  1.000000E+04  
17    5.7935111342361466E+04  2.670000E+03  1.520000E+03  1.017707E+04  3.340000E+03  1.000000E+03  1.000000E+04  4.451038E+03  5.020000E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.535199E+03  4.215201E+03  1.000000E+04  4.500000E+03  4.450720E+03  1.000000E+04  
18    3.7118375804420066E+08  2.670000E+03  1.520000E+03  1.000000E+04  3.340000E+03  1.000000E+03  1.000000E+04  4.451038E+03  5.020000E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.535199E+03  4.170000E+03  1.000000E+04  4.736178E+03  4.450720E+03  1.000000E+04  
19    3.3118574388594705E+08  2.750214E+03  1.520000E+03  1.337584E+04  3.340000E+03  1.000000E+03  1.000000E+04  4.451038E+03  5.020000E+03  7.758044E+03  5.130000E+03  3.885227E+03  1.000000E+04  4.535199E+03  4.170000E+03  1.000000E+04  4.751014E+03  4.450720E+03  1.000000E+04  
20    1.9332205151998952E+06  2.670000E+03  1.520000E+03  3.032011E+03  3.340000E+03  8.915398E+02  1.096424E+04  4.444069E+03  5.020000E+03  7.758044E+03  5.081850E+03  3.715000E+03  1.000000E+04  4.535199E+03  4.195717E+03  3.426225E+03  4.486912E+03  4.450720E+03  1.000000E+04  
21    5.0936111975012478E+04  2.670000E+03  1.520000E+03  3.032011E+03  3.340000E+03  1.000000E+03  1.096424E+04  4.444069E+03  5.020000E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.303088E+03  9.181822E+03  4.500000E+03  4.450720E+03  1.000000E+04  
22    5.0936111975012478E+04  2.670000E+03  1.520000E+03  3.032011E+03  3.340000E+03  1.000000E+03  1.096424E+04  4.444069E+03  4.984648E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.303088E+03  9.181822E+03  4.500000E+03  4.450720E+03  1.000000E+04  
23    5.0182903680414151E+04  2.670000E+03  1.520000E+03  3.032011E+03  3.340000E+03  1.000000E+03  1.021103E+04  4.512608E+03  4.984648E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.303088E+03  9.181822E+03  4.500000E+03  4.450720E+03  1.000000E+04  
24    4.7796457442918982E+04  2.670000E+03  1.520000E+03  6.359249E+02  3.340000E+03  1.000000E+03  1.021103E+04  4.512608E+03  4.984648E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.303088E+03  9.181822E+03  4.500000E+03  4.450720E+03  1.000000E+04  
25    6.9022278681758296E+08  2.670000E+03  1.520000E+03  6.359249E+02  3.340000E+03  1.280058E+03  1.021103E+04  4.512608E+03  4.984648E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.303088E+03  9.181822E+03  4.500000E+03  4.450720E+03  1.000000E+04  
26    4.7786817582918979E+04  2.670000E+03  1.520000E+03  6.359249E+02  3.340000E+03  1.000000E+03  1.021103E+04  4.447277E+03  4.984648E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.303088E+03  9.181822E+03  4.500000E+03  4.450720E+03  1.000000E+04  
27    2.0804778681758291E+08  2.670000E+03  1.520000E+03  6.359249E+02  3.340000E+03  1.000000E+03  1.021103E+04  4.758356E+03  4.984648E+03  7.758044E+03  5.130000E+03  3.628262E+03  1.000000E+04  4.580841E+03  4.303088E+03  9.181822E+03  4.500000E+03  4.450720E+03  1.000000E+04  
28    5.5221955683459943E+04  2.670000E+03  1.520000E+03  6.359249E+02  3.340000E+03  1.000000E+03  1.021103E+04  4.447277E+03  4.984648E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.303088E+03  9.181822E+03  4.500000E+03  4.450720E+03  1.743514E+04  
29    5.1178942035341213E+04  2.622928E+03  1.520000E+03  6.359249E+02  3.340000E+03  1.000000E+03  1.021103E+04  4.447277E+03  4.984648E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.303088E+03  1.257395E+04  4.500000E+03  4.450720E+03  1.000000E+04  
30    1.0316698974255398E+05  2.622928E+03  1.520000E+03  6.359249E+02  3.340000E+03  1.000000E+03  1.021103E+04  4.447277E+03  4.984648E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.303088E+03  9.181822E+03  4.500000E+03  4.450720E+03  6.140472E+03  
31    7.7020378681758296E+08  2.622928E+03  1.520000E+03  6.359249E+02  3.340000E+03  1.220150E+03  1.021103E+04  4.447277E+03  4.984648E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.303088E+03  9.181822E+03  4.500000E+03  4.450720E+03  1.000000E+04  
32    4.6383946963500406E+04  2.622928E+03  1.520000E+03  6.359249E+02  3.340000E+03  1.000000E+03  1.021103E+04  4.447277E+03  4.984648E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.604418E+03  9.181822E+03  4.500000E+03  4.450720E+03  8.597129E+03  
33    4.3573461408844101E+04  2.622928E+03  1.520000E+03  6.359249E+02  3.340000E+03  1.000000E+03  1.021103E+04  4.447277E+03  4.984648E+03  7.758044E+03  5.130000E+03  3.715000E+03  5.786644E+03  4.580841E+03  4.303088E+03  9.181822E+03  4.500000E+03  4.450720E+03  1.000000E+04  
