Run   obj.function   XQ01          YQ01          RQ01          XQ02          YQ02          RQ02          XQ03          YQ03          RQ03          XQ04          YQ04          RQ04          XQ05          YQ05          RQ05          XQ06          YQ06          RQ06          
16    7.5651100000000000E+07  2.670000E+03  1.520000E+03  1.000000E+04  3.340000E+03  1.009710E+03  1.000000E+04  4.451038E+03  5.020000E+03  1.000000E+04  5.130000E+03  3.715000E+03  1.000000E+04  4.770000E+03  4.788389E+03  1.000000E+04  4.500000E+03  4.450720E+03  1.000000E+04  
17    1.0466435538724089E+07  2.670000E+03  1.412779E+03  1.447749E+04  3.340000E+03  1.000000E+03  1.000000E+04  4.451038E+03  5.020000E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.535199E+03  4.774648E+03  1.000000E+04  4.500000E+03  4.450720E+03  1.000000E+04  
18    4.0912675804420066E+08  3.075708E+03  1.520000E+03  1.000000E+04  3.340000E+03  1.000000E+03  1.000000E+04  4.451038E+03  5.020000E+03  7.758044E+03  5.130000E+03  3.780572E+03  1.000000E+04  4.535199E+03  4.170000E+03  1.000000E+04  4.500000E+03  4.468071E+03  1.000000E+04  
19    3.7387675804420066E+08  2.670000E+03  1.520000E+03  1.000000E+04  3.340000E+03  1.467854E+03  1.000000E+04  4.451038E+03  5.020000E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.535199E+03  4.170000E+03  1.000000E+04  4.500000E+03  4.450720E+03  1.000000E+04  
20    5.0936111975012478E+04  2.670000E+03  1.520000E+03  3.032011E+03  3.340000E+03  1.000000E+03  1.096424E+04  4.444069E+03  5.020000E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.195717E+03  9.181822E+03  4.500000E+03  4.450720E+03  1.000000E+04  
21    7.0289431969448662E+08  2.670000E+03  1.744599E+03  3.032011E+03  3.340000E+03  1.390638E+03  1.096424E+04  4.444069E+03  5.020000E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.195717E+03  9.181822E+03  4.500000E+03  4.450720E+03  9.383583E+03  
22    5.0936111975012478E+04  2.731726E+03  1.520000E+03  3.032011E+03  3.340000E+03  1.000000E+03  1.096424E+04  4.461621E+03  5.020000E+03  7.758044E+03  5.434506E+03  3.715000E+03  1.000000E+04  4.535199E+03  4.195717E+03  9.181822E+03  4.500000E+03  4.795236E+03  1.000000E+04  
23    7.9676884632157143E+06  2.731726E+03  1.417511E+03  3.032011E+03  3.340000E+03  1.000000E+03  1.023659E+04  4.461621E+03  4.746990E+03  7.758044E+03  5.434506E+03  3.715000E+03  1.000000E+04  4.535199E+03  4.195717E+03  9.181822E+03  4.500000E+03  4.795236E+03  1.000000E+04  
24    5.0566177484709246E+04  2.670000E+03  1.550912E+03  3.032011E+03  3.340000E+03  1.000000E+03  1.096424E+04  4.444069E+03  5.020000E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.303088E+03  8.811887E+03  4.500000E+03  4.450720E+03  1.000000E+04  
25    2.5783764552927238E+08  2.670000E+03  1.402154E+03  3.032011E+03  3.340000E+03  1.000000E+03  1.096424E+04  4.444069E+03  5.020000E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.303088E+03  7.891239E+03  4.301799E+03  4.450720E+03  1.000000E+04  
26    1.0357790700949258E+06  2.670000E+03  1.520000E+03  6.359249E+02  3.613510E+03  1.000000E+03  1.021103E+04  4.512608E+03  4.984648E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.303088E+03  4.565074E+03  4.500000E+03  4.450720E+03  1.000000E+04  
27    4.7795408512918977E+04  2.670000E+03  1.586656E+03  6.359249E+02  3.340000E+03  1.000000E+03  1.021103E+04  4.512608E+03  4.984648E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.303088E+03  9.181822E+03  4.500000E+03  4.450720E+03  1.000000E+04  
28    4.7786817582918979E+04  2.622928E+03  1.520000E+03  6.359249E+02  3.340000E+03  1.000000E+03  1.021103E+04  4.447277E+03  4.984648E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.303088E+03  9.181822E+03  4.500000E+03  4.450720E+03  1.000000E+04  
29    3.3238778681758291E+08  2.622928E+03  1.520000E+03  6.359249E+02  3.340000E+03  1.000000E+03  1.021103E+04  4.447277E+03  4.984648E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.857312E+03  4.303088E+03  9.181822E+03  4.500000E+03  4.450720E+03  1.000000E+04  
30    4.0534578681758291E+08  2.622928E+03  1.520000E+03  6.359249E+02  3.340000E+03  1.000000E+03  1.021103E+04  4.447277E+03  4.984648E+03  7.758044E+03  4.760805E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.303088E+03  9.181822E+03  4.500000E+03  4.450720E+03  1.000000E+04  
31    4.7786817582918979E+04  2.622928E+03  1.520000E+03  6.359249E+02  3.340000E+03  1.000000E+03  1.021103E+04  4.447277E+03  4.984648E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.604418E+03  9.181822E+03  4.500000E+03  4.450720E+03  1.000000E+04  
32    4.7903622361866088E+04  2.622928E+03  1.520000E+03  6.359249E+02  3.340000E+03  1.000000E+03  1.021103E+04  4.447277E+03  4.984648E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.604418E+03  9.181822E+03  4.500000E+03  4.450720E+03  1.011680E+04  
33    4.1321330232390370E+04  2.622928E+03  1.520000E+03  6.359249E+02  3.340000E+03  1.000000E+03  7.440144E+03  4.447277E+03  4.984648E+03  7.758044E+03  5.130000E+03  3.715000E+03  6.305395E+03  4.580841E+03  4.303088E+03  9.181822E+03  4.500000E+03  4.450720E+03  1.000000E+04  
