Run   obj.function   <kb>          <kn>          <mlt>         <sn0>         <gw0>         <st0>         <CN1>         <CN2>         <ss1>         <ss2>         <kh>          
51    2.085618E+03  5.415522E-02  3.203104E-01  1.003111E+00  3.479652E+00  5.564724E+00  5.657662E+00  7.191265E+01  8.605522E+01  1.617404E+01  9.246693E+00  1.075294E+00  
52    2.091863E+03  5.415522E-02  3.203104E-01  1.003111E+00  3.479652E+00  5.564724E+00  5.657662E+00  7.191265E+01  7.936872E+01  1.617404E+01  9.246693E+00  1.075294E+00  
53    6.274240E+03  5.415522E-02  3.203104E-01  1.003111E+00  2.351471E+01  5.564724E+00  5.657662E+00  7.191265E+01  8.605522E+01  1.617404E+01  7.602201E+00  1.075294E+00  
54    2.097903E+03  5.415522E-02  3.203104E-01  1.003111E+00  3.479652E+00  5.564724E+00  5.657662E+00  7.191265E+01  9.671664E+01  1.617404E+01  7.602201E+00  1.075294E+00  
55    2.117805E+03  4.669935E-02  4.368110E-01  2.882309E+00  3.479652E+00  5.564724E+00  5.657662E+00  7.191265E+01  8.605522E+01  1.617404E+01  7.602201E+00  1.075294E+00  
56    1.874783E+03  5.415522E-02  3.203104E-01  1.190910E-01  3.479652E+00  5.564724E+00  5.657662E+00  7.191265E+01  8.605522E+01  1.617404E+01  7.602201E+00  1.075294E+00  
57    1.998962E+03  5.415522E-02  3.203104E-01  1.190910E-01  3.479652E+00  5.564724E+00  5.657662E+00  7.191265E+01  8.003323E+01  1.617404E+01  1.599006E+01  1.075294E+00  
58    1.801215E+03  5.415522E-02  3.203104E-01  1.190910E-01  1.336514E+00  5.564724E+00  5.657662E+00  7.191265E+01  8.605522E+01  1.617404E+01  7.602201E+00  1.051891E+00  
59    2.091653E+03  5.415522E-02  3.203104E-01  1.190910E-01  8.748137E+00  5.564724E+00  5.657662E+00  7.191265E+01  8.605522E+01  1.617404E+01  7.602201E+00  1.051891E+00  
60    4.345532E+04  5.415522E-02  3.203104E-01  1.190910E-01  3.534339E+00  1.723809E+02  5.657662E+00  7.191265E+01  8.605522E+01  1.259770E+01  7.602201E+00  1.051891E+00  
61    1.799089E+03  5.415522E-02  3.203104E-01  1.190910E-01  1.336514E+00  5.564724E+00  5.657662E+00  7.191265E+01  8.605522E+01  1.455137E+01  7.602201E+00  1.051891E+00  
62    1.518906E+03  5.415522E-02  4.519203E-01  1.190910E-01  1.336514E+00  5.564724E+00  5.657662E+00  7.531393E+01  8.820736E+01  1.617404E+01  7.602201E+00  1.000803E+00  
63    6.134947E+04  5.415522E-02  4.519203E-01  1.190910E-01  1.336514E+00  1.993831E+02  5.657662E+00  7.531393E+01  8.820736E+01  1.617404E+01  7.602201E+00  9.283224E-01  
