STEP	OBJ._FUNCTION	<kb>        	<kn>        	<mlt>       	<sn0>       	<gw0>       	<st0>       	<CN1>       	<CN2>       	<ss1>       	<ss2>       	<kh>        
 347	1.337782E+03	3.960973E-02	4.647340E-01	1.425077E-01	1.336514E+00	5.564724E+00	5.657662E+00	8.137300E+01	8.423528E+01	3.671353E+00	7.602201E+00	1.131127E+00
 355	1.319851E+03	3.960973E-02	4.647340E-01	1.425077E-01	1.336514E+00	5.564724E+00	5.657662E+00	8.137300E+01	8.423528E+01	3.671353E+00	9.284974E-01	1.131127E+00
 365	1.317440E+03	3.960973E-02	4.647340E-01	1.425077E-01	1.336514E+00	5.564724E+00	5.657662E+00	8.137300E+01	8.423528E+01	7.634960E-01	9.284974E-01	1.131127E+00
 375	1.317355E+03	3.960973E-02	4.647340E-01	1.425077E-01	1.336514E+00	5.564724E+00	5.657662E+00	8.137300E+01	8.423528E+01	5.066134E-01	9.284974E-01	1.131127E+00
 400	1.317272E+03	3.960973E-02	4.647340E-01	1.425077E-01	1.336514E+00	5.564724E+00	5.657662E+00	8.137300E+01	8.423528E+01	5.066134E-01	9.284974E-01	1.127928E+00
 405	1.309387E+03	3.960973E-02	4.647340E-01	1.425077E-01	1.336514E+00	5.564724E+00	5.657662E+00	8.362995E+01	8.423528E+01	5.066134E-01	9.284974E-01	1.127928E+00
 424	1.309355E+03	3.960973E-02	4.647340E-01	1.425077E-01	1.336514E+00	5.564724E+00	5.657662E+00	8.362995E+01	8.423528E+01	5.066134E-01	8.752495E-01	1.127928E+00
 427	1.285377E+03	3.960973E-02	4.184595E-01	1.425077E-01	1.336514E+00	5.564724E+00	5.657662E+00	8.362995E+01	8.423528E+01	5.066134E-01	9.284974E-01	1.127928E+00
 431	1.285218E+03	3.960973E-02	4.184595E-01	1.425077E-01	1.336514E+00	5.564724E+00	5.657662E+00	8.362995E+01	8.423528E+01	3.180729E-01	9.284974E-01	1.127928E+00
 443	1.285167E+03	3.960973E-02	4.184595E-01	1.425077E-01	1.336514E+00	5.564724E+00	5.657662E+00	8.362995E+01	8.423528E+01	2.532810E-01	9.284974E-01	1.127928E+00
 470	1.270802E+03	3.960973E-02	4.184595E-01	1.425077E-01	1.336514E+00	1.715742E+00	5.657662E+00	8.362995E+01	8.423528E+01	2.532810E-01	9.284974E-01	1.127928E+00
 477	1.270784E+03	3.960973E-02	4.184595E-01	1.425077E-01	1.336514E+00	1.715742E+00	5.657662E+00	8.362995E+01	8.423528E+01	2.532810E-01	1.044993E+00	1.127928E+00
 481	1.270760E+03	3.960973E-02	4.184595E-01	1.425077E-01	1.336514E+00	1.715742E+00	5.657662E+00	8.362995E+01	8.423528E+01	2.532810E-01	1.208504E+00	1.127928E+00
 486	1.266124E+03	3.960973E-02	4.184595E-01	1.425077E-01	1.336514E+00	1.715742E+00	5.657662E+00	8.438929E+01	8.423528E+01	2.532810E-01	1.208504E+00	1.127928E+00
